id,original_id,text_length,clean_exists,clean_sr,clean_samples,clean_duration_s,clean_channels,clean_error,dist_exists,dist_sr,dist_samples,dist_duration_s,dist_channels,dist_error,status
clean_0001,LJ001-0001,151,True,22050,212893,9.655,mono,,True,16000,165295,10.3309,mono,,OK
clean_0002,LJ001-0002,30,True,22050,41885,1.8995,mono,,True,16000,32521,2.0326,mono,,OK
clean_0003,LJ001-0003,155,True,22050,213149,9.6666,mono,,True,16000,165493,10.3433,mono,,OK
clean_0004,LJ001-0004,89,True,22050,113309,5.1387,mono,,True,16000,87976,5.4985,mono,,OK
clean_0005,LJ001-0005,143,True,22050,178845,8.1109,mono,,True,16000,138860,8.6788,mono,,OK
clean_0006,LJ001-0006,74,True,22050,125341,5.6844,mono,,True,16000,97318,6.0824,mono,,OK
clean_0007,LJ001-0007,116,True,22050,184989,8.3895,mono,,True,16000,143630,8.9769,mono,,OK
clean_0008,LJ001-0008,25,True,22050,39325,1.7834,mono,,True,16000,30534,1.9084,mono,,OK
clean_0009,LJ001-0009,104,True,22050,166557,7.5536,mono,,True,16000,129319,8.0824,mono,,OK
clean_0010,LJ001-0010,116,True,22050,194461,8.8191,mono,,True,16000,150984,9.4365,mono,,OK
clean_0011,LJ001-0011,74,True,22050,99485,4.5118,mono,,True,16000,77243,4.8277,mono,,OK
clean_0012,LJ001-0012,108,True,22050,181661,8.2386,mono,,True,16000,141046,8.8154,mono,,OK
clean_0013,LJ001-0013,43,True,22050,56989,2.5845,mono,,True,16000,44248,2.7655,mono,,OK
clean_0014,LJ001-0014,168,True,22050,219293,9.9453,mono,,True,16000,170264,10.6415,mono,,OK
clean_0015,LJ001-0015,166,True,22050,203677,9.2371,mono,,True,16000,158139,9.8837,mono,,OK
clean_0016,LJ001-0016,79,True,22050,116125,5.2664,mono,,True,16000,90163,5.6352,mono,,OK
clean_0017,LJ001-0017,137,True,22050,154781,7.0195,mono,,True,16000,120175,7.5109,mono,,OK
clean_0018,LJ001-0018,124,True,22050,165021,7.4839,mono,,True,16000,128127,8.0079,mono,,OK
clean_0019,LJ001-0019,112,True,22050,141469,6.4158,mono,,True,16000,109840,6.865,mono,,OK
clean_0020,LJ001-0020,65,True,22050,103069,4.6743,mono,,True,16000,80026,5.0016,mono,,OK
clean_0021,LJ001-0021,126,True,22050,189853,8.6101,mono,,True,16000,147406,9.2129,mono,,OK
clean_0022,LJ001-0022,112,True,22050,155549,7.0544,mono,,True,16000,120772,7.5483,mono,,OK
clean_0023,LJ001-0023,132,True,22050,186269,8.4476,mono,,True,16000,144624,9.039,mono,,OK
clean_0024,LJ001-0024,119,True,22050,173213,7.8555,mono,,True,16000,134487,8.4054,mono,,OK
clean_0025,LJ001-0025,110,True,22050,195485,8.8655,mono,,True,16000,151779,9.4862,mono,,OK
clean_0026,LJ001-0026,86,True,22050,134301,6.0907,mono,,True,16000,104274,6.5171,mono,,OK
clean_0027,LJ001-0027,139,True,22050,212637,9.6434,mono,,True,16000,165096,10.3185,mono,,OK
clean_0028,LJ001-0028,69,True,22050,130717,5.9282,mono,,True,16000,101492,6.3433,mono,,OK
clean_0029,LJ001-0029,75,True,22050,117405,5.3245,mono,,True,16000,91156,5.6973,mono,,OK
clean_0030,LJ001-0030,95,True,22050,152477,6.9151,mono,,True,16000,118386,7.3991,mono,,OK
clean_0031,LJ001-0031,99,True,22050,173213,7.8555,mono,,True,16000,134487,8.4054,mono,,OK
clean_0032,LJ001-0032,105,True,22050,156061,7.0776,mono,,True,16000,121169,7.5731,mono,,OK
clean_0033,LJ001-0033,98,True,22050,151709,6.8802,mono,,True,16000,117790,7.3619,mono,,OK
clean_0034,LJ001-0034,138,True,22050,200349,9.0861,mono,,True,16000,155555,9.7222,mono,,OK
clean_0035,LJ001-0035,78,True,22050,111517,5.0575,mono,,True,16000,86585,5.4116,mono,,OK
clean_0036,LJ001-0036,97,True,22050,161693,7.333,mono,,True,16000,125543,7.8464,mono,,OK
clean_0037,LJ001-0037,59,True,22050,93853,4.2564,mono,,True,16000,72870,4.5544,mono,,OK
clean_0038,LJ001-0038,139,True,22050,214429,9.7247,mono,,True,16000,166487,10.4054,mono,,OK
clean_0039,LJ001-0039,61,True,22050,82845,3.7571,mono,,True,16000,64324,4.0202,mono,,OK
clean_0040,LJ001-0040,104,True,22050,167325,7.5884,mono,,True,16000,129915,8.1197,mono,,OK
clean_0041,LJ001-0041,73,True,22050,109213,4.953,mono,,True,16000,84796,5.2998,mono,,OK
clean_0042,LJ001-0042,113,True,22050,147101,6.6712,mono,,True,16000,114212,7.1383,mono,,OK
clean_0043,LJ001-0043,63,True,22050,85917,3.8965,mono,,True,16000,66709,4.1693,mono,,OK
clean_0044,LJ001-0044,98,True,22050,154013,6.9847,mono,,True,16000,119579,7.4737,mono,,OK
clean_0045,LJ001-0045,38,True,22050,66717,3.0257,mono,,True,16000,51801,3.2376,mono,,OK
clean_0046,LJ001-0046,86,True,22050,119197,5.4058,mono,,True,16000,92548,5.7843,mono,,OK
clean_0047,LJ001-0047,92,True,22050,130717,5.9282,mono,,True,16000,101492,6.3433,mono,,OK
clean_0048,LJ001-0048,93,True,22050,139421,6.3229,mono,,True,16000,108250,6.7656,mono,,OK
clean_0049,LJ001-0049,118,True,22050,170141,7.7161,mono,,True,16000,132102,8.2564,mono,,OK
clean_0050,LJ001-0050,100,True,22050,160413,7.275,mono,,True,16000,124548,7.7843,mono,,OK
