id,reference,reconstructed_audio_path,reconstructed_prediction,reconstructed_wer
clean_0001,"Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition",data/reconstructed_audio/reconstructed_0001.wav,,1.0
clean_0002,in being comparatively modern.,data/reconstructed_audio/reconstructed_0002.wav,,1.0
clean_0003,"For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process",data/reconstructed_audio/reconstructed_0003.wav,,1.0
clean_0004,"produced the block books, which were the immediate predecessors of the true printed book,",data/reconstructed_audio/reconstructed_0004.wav,,1.0
clean_0005,the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.,data/reconstructed_audio/reconstructed_0005.wav,,1.0
clean_0006,"And it is worth mention in passing that, as an example of fine typography,",data/reconstructed_audio/reconstructed_0006.wav,,1.0
clean_0007,"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about fourteen fifty-five,",data/reconstructed_audio/reconstructed_0007.wav,,1.0
clean_0008,has never been surpassed.,data/reconstructed_audio/reconstructed_0008.wav,,1.0
clean_0009,"Printing, then, for our purpose, may be considered as the art of making books by means of movable types.",data/reconstructed_audio/reconstructed_0009.wav,,1.0
clean_0010,"Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,",data/reconstructed_audio/reconstructed_0010.wav,,1.0
