id,reference,clean_path,distorted_path,clean_prediction,distorted_prediction,clean_wer,distorted_wer
clean_0001,"Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition",data/clean/clean_0001.wav,data/distorted/distorted_0001.wav,"Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition.","printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition.",0.0,0.0
clean_0002,in being comparatively modern.,data/clean/clean_0002.wav,data/distorted/distorted_0002.wav,in being comparatively modern.,in being comparatively modern.,0.0,0.0
clean_0003,"For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process",data/clean/clean_0003.wav,data/distorted/distorted_0003.wav,"For although the Chinese took impressions from wood blocks and graved in relief for centuries before the wood cutters of the Netherlands by a similar process,","For although the Chinese took impressions from wood blocks engraved in relief for centuries before the wood cutters of the Netherlands by a similar process,",0.1667,0.0833
clean_0004,"produced the block books, which were the immediate predecessors of the true printed book,",data/clean/clean_0004.wav,data/distorted/distorted_0004.wav,"produced the block books, which were the immediate predecessors of the true printed book.","produced the block books, which were the immediate predecessors of the true printed book.",0.0,0.0
clean_0005,the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.,data/clean/clean_0005.wav,data/distorted/distorted_0005.wav,The invention of movable metal letters in the middle of the 15th century may justly be considered as the invention of the art of printing.,The invention of movable metal letters in the middle of the 15th century may just be considered as the invention of the art of printing.,0.04,0.08
clean_0006,"And it is worth mention in passing that, as an example of fine typography,",data/clean/clean_0006.wav,data/distorted/distorted_0006.wav,And it is worth mentioning in passing that has an example of fine typography.,and it is worth mentioning in passing that has an example of fine typography.,0.1429,0.1429
clean_0007,"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about fourteen fifty-five,",data/clean/clean_0007.wav,data/distorted/distorted_0007.wav,"The earliest book printed with movable types, the Guttenberg or 42 line Bible of about 1455.","The earliest book printed with movable types, the Guttenberg for 42 line Bible of about 1455.",0.2353,0.2941
clean_0008,has never been surpassed.,data/clean/clean_0008.wav,data/distorted/distorted_0008.wav,has never been surpassed.,has never been surpassed.,0.0,0.0
clean_0009,"Printing, then, for our purpose, may be considered as the art of making books by means of movable types.",data/clean/clean_0009.wav,data/distorted/distorted_0009.wav,Printing then for our purpose may be considered as the art of making books by means of movable types.,Printing then for our purpose may be considered as the art of making books by means of movable types.,0.0,0.0
clean_0010,"Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,",data/clean/clean_0010.wav,data/distorted/distorted_0010.wav,"Now, as all books, not primarily intended as picture books, consist principally of types composed to form letterpress.","Now, as all books not primarily intended as picture books, consists principally of types composed to form letter press.",0.1176,0.2941
